RECTYPE,LEA,ESTAB,SCHNAME,URN,ICLOSE,NFTYPE,TPUP,ATT8SCR,P8MEA,P8CILOW,P8CIUPP,PTEBACC_E_PTQ_EE,PTEBACC_95,PTL2BASICS_95,PTEBACC_94,PTL2BASICS_94,PT5EM_94
1,330,4177,Selly Park Technology College for Girls,103498,0,CY,135,48,0.41,0.2,0.63,58%,24%,41%,29%,64%,62%
1,330,5409,Hall Green School,137858,0,ACC,177,47.4,0,-0.18,0.18,48%,29%,44%,32%,65%,64%
1,330,4333,Balaam Wood School,103529,0,CY,45,38.7,-0.23,-0.59,0.13,29%,0%,11%,0%,27%,27%
1,330,4246,Yardleys School,139994,0,ACC,171,43.1,0.18,-0.01,0.37,8%,6%,43%,6%,58%,55%
2,330,6115,St Paul's,135208,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,330,6019,Riverside Education,142338,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,330,4227,Broadway Academy,139841,0,ACC,196,41.2,-0.2,-0.38,-0.02,49%,15%,28%,18%,46%,45%
1,330,4018,Saltley Academy,141668,0,AC,191,44.7,0.26,0.08,0.44,51%,22%,33%,27%,51%,50%
1,330,5408,King Edward VI Aston School,137043,0,ACC,104,71.4,0.47,0.22,0.71,80%,76%,96%,77%,97%,97%
2,330,7040,Mayfield School,103619,0,CYS,17,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,330,4664,Holy Trinity Catholic Media Arts College,103538,0,VA,103,38.9,-0.41,-0.67,-0.16,25%,5%,33%,6%,53%,50%
1,330,6910,Harborne Academy,136213,0,AC,105,43.2,0.22,-0.06,0.5,37%,11%,31%,12%,48%,45%
1,330,4206,Stockland Green School,138137,0,ACC,140,39.6,-0.15,-0.35,0.06,42%,16%,25%,17%,51%,46%
2,330,7034,Priestley Smith School,103614,0,CYS,12,7.2,-1.59,-2.32,-0.86,0%,0%,0%,0%,0%,0%
1,330,6130,Al-Noor College,136037,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,330,6060,Highclare School,103576,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,330,4060,Lordswood Girls' School and Sixth Form Centre,136592,0,ACC,130,54.9,0.79,0.57,1.01,48%,34%,50%,40%,77%,76%
1,330,4237,Swanshurst School,103514,0,CY,287,50.2,0.33,0.18,0.47,54%,27%,43%,32%,70%,68%
1,330,5407,King Edward VI Camp Hill School for Boys,137045,0,ACC,93,81.7,1,0.72,1.27,99%,99%,100%,99%,100%,100%
2,330,7000,Hallmoor School,144336,0,ACS, , , , , , , , , , , 
1,330,6908,Ark St Alban's Academy,135970,0,AC,87,44,0.43,0.16,0.69,79%,21%,44%,23%,77%,68%
2,330,7013,Calthorpe Teaching Academy,141252,0,ACCS,37,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,330,4173,Queensbridge School,103497,0,FD,131,49.1,0.45,0.23,0.66,35%,21%,45%,24%,72%,68%
1,330,2179,Starbank School,103258,0,CY, , , , , , , , , , , 
1,330,4115,Bordesley Green Girls' School & Sixth Form,103493,0,CY,117,40.9,0.14,-0.09,0.37,80%,15%,20%,20%,48%,46%
2,330,7027,Hallmoor School,103610,1,CYS,20,0.2,-1.38,-2.01,-0.76,0%,0%,0%,0%,0%,0%
1,330,4331,Plantsbrook School,137053,0,ACC,187,53.5,0.16,-0.02,0.34,40%,19%,55%,23%,79%,76%
1,330,6029,Al-Furqan Community College (Boys),136063,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,330,4301,John Willmott School,103522,0,CY,166,41.9,-0.38,-0.57,-0.18,55%,22%,34%,23%,55%,50%
1,330,4661,Bishop Walsh Catholic School,140524,0,ACC,143,53,-0.05,-0.25,0.16,41%,29%,56%,30%,81%,80%
1,330,6083,Birchfield Independent Girls' School,103591,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,330,6014,R.Y.A.N Education Academy,139706,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,330,4022,Cockshut Hill Technology College,142388,0,AC, , , , , , , , , , , 
1,330,4013,Ark Boulton Academy,140014,0,AC,165,41.8,0.11,-0.08,0.3,36%,13%,32%,16%,50%,45%
1,330,4016,Perry Beeches IV - The Free School,141003,0,F, , , , , , , , , , , 
2,330,6208,Pathway To Success Independent School,135898,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,330,4244,The International School,103518,1,CY,144,32.5,LOWCOV,LOWCOV,LOWCOV,10%,1%,13%,3%,33%,31%
1,330,4307,The Arthur Terry School,138136,0,ACC,241,54.1,0.3,0.14,0.46,56%,37%,59%,39%,80%,78%
1,330,4207,Handsworth Wood Girls' Academy,138937,0,ACC,122,41.3,-0.07,-0.3,0.15,26%,11%,34%,14%,61%,52%
1,330,6104,Al-Burhan Grammar School,134034,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,330,6128,Flexible Learning Centre,135561,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,330,4063,Kings Heath Boys,103486,0,CY,92,43.4,-0.09,-0.36,0.19,20%,7%,47%,7%,61%,58%
2,330,7031,Wilson Stuart School,138281,0,ACCS,17,12.2,-0.52,-1.11,0.07,0%,0%,0%,0%,6%,6%
1,330,6009,Redstone Educational Academy,137560,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,331,6011,Pattison College,103747,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,331,6017,Bablake School,103751,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,331,4028,Caludon Castle School,139292,0,ACC,238,48.5,0.14,-0.02,0.3,31%,15%,37%,19%,64%,63%
1,331,6905,Grace Academy Coventry,135335,0,AC,157,39.5,-0.48,-0.67,-0.28,25%,2%,30%,2%,48%,41%
1,331,4000,Barr's Hill School and Community College,142339,0,ACC,100,30.6,-0.48,-0.76,-0.19,33%,1%,12%,3%,34%,25%
1,331,4026,Coundon Court,138023,0,ACC,245,43.5,-0.19,-0.35,-0.03,9%,6%,39%,6%,60%,57%
1,331,6016,King Henry VIII School,103750,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,331,4033,Tile Hill Wood School and Language College,137209,0,ACC,157,41.3,-0.26,-0.46,-0.07,73%,24%,29%,29%,49%,45%
2,331,7019,Baginton Fields School,103765,0,CYS,9,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,331,4003,WMG Academy for Young Engineers,140961,0,UTC,92,39,-0.85,-1.11,-0.6,5%,2%,26%,3%,58%,49%
4,331, , , , , ,3385,42.5,-0.12,-0.16,-0.08,39.10%,17.00%,35.80%,19.60%,57.80%,54.70%
1,331,4029,Foxford School and Community Arts College,103732,0,FD,162,38.1,-0.17,-0.37,0.04,41%,13%,25%,14%,54%,49%
2,331,7002,Riverbank School,141376,0,ACS,29,1.9,-1.51,-1.97,-1.05,0%,0%,0%,0%,0%,0%
1,331,4004,Seva School,141104,0,F, , , , , , , , , , , 
1,331,4800,Blue Coat Church of England School and Music College,137272,0,ACC,205,53.5,0.34,0.16,0.51,79%,44%,60%,49%,83%,81%
2,331,7021,Woodfield,131574,0,CYS,22,5.8,-2.14,-2.67,-1.61,0%,0%,0%,0%,0%,0%
1,331,4007,Cardinal Wiseman Catholic School,141992,0,AC,208,40.1,-0.41,-0.58,-0.23,12%,6%,37%,6%,54%,52%
1,331,4044,Whitley Academy,136840,0,ACC,142,42.3,-0.23,-0.44,-0.02,65%,19%,35%,23%,56%,53%
2,331,7022,Corley Centre,134533,0,CYS,20,11.3,-1.68,-2.25,-1.11,0%,0%,0%,0%,0%,0%
1,331,4701,Bishop Ullathorne Catholic School,103742,0,VA,152,51.6,0.49,0.29,0.69,78%,43%,52%,50%,73%,70%
1,331,4707,Cardinal Newman Catholic School A Specialist Arts and Community College,103743,0,VA,200,47,0.02,-0.16,0.19,25%,14%,41%,17%,62%,61%
1,331,4043,The Westwood Academy,137225,0,ACC,95,42.3,-0.17,-0.43,0.09,16%,14%,33%,15%,57%,56%
1,331,4027,Woodlands Academy,137165,0,ACC,129,35.8,-0.83,-1.04,-0.61,35%,9%,28%,9%,45%,40%
2,331,7009,Sherbourne Fields School,103760,0,CYS,9,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,331,4002,Eden Girls' School Coventry,140958,0,F, , , , , , , , , , , 
1,331,4037,Finham Park School,136963,0,ACC,235,51.4,0.13,-0.03,0.29,52%,36%,55%,40%,80%,77%
1,331,4030,Lyng Hall School,142960,0,ACC,100,34.3,-0.08,-0.36,0.2,9%,4%,19%,4%,42%,40%
1,331,4005,Stoke Park School and Community Technology College,103728,0,FD,171,37.4,-0.38,-0.57,-0.18,18%,6%,21%,8%,45%,43%
1,331,4006,Finham Park 2,141939,0,F, , , , , , , , , , , 
1,331,6906,Sidney Stringer Academy,136126,0,AC,204,45.1,0.23,0.06,0.4,72%,26%,41%,30%,64%,61%
1,331,4001,Ernesford Grange Community Academy,140366,0,AC,87,37.8,-0.37,-0.65,-0.1,80%,14%,28%,15%,46%,43%
1,331,4034,President Kennedy School Academy,140248,0,ACC,219,46.5,0.63,0.46,0.81,37%,22%,41%,26%,65%,62%
1,332,4001,Thorns Collegiate Academy,143818,0,AC, , , , , , , , , , , 
1,332,4117,The Hillcrest School and Community College,103863,1,CY,200,39.9,-0.19,-0.36,-0.01,18%,8%,22%,11%,43%,43%
1,332,6000,Elmfield Rudolf Steiner School Limited,103876,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,332,6004,Newhall Theatre Project,134458,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,332,4106,The Earls High School,137812,0,ACC,235,49.7,0.24,0.08,0.4,25%,13%,47%,17%,70%,69%
1,332,4800,Bishop Milner Catholic College,140126,0,ACC,130,47.4,0.13,-0.09,0.35,77%,18%,36%,22%,64%,60%
1,332,4000,The Crestwood School,141325,0,AC,113,42,0.01,-0.21,0.24,56%,17%,28%,21%,50%,48%
1,332,5400,Old Swinford Hospital,103870,0,VA,80,62.1,0.74,0.41,1.07,46%,33%,80%,35%,91%,90%
2,332,7005,Halesbury School,103881,0,FDS,8,3.4,-1.45,-2.31,-0.59,0%,0%,0%,0%,0%,0%
2,332,7001,The Sutton School and Specialist College,103877,0,FDS,30,4.7,-1.15,-1.59,-0.71,0%,0%,0%,0%,0%,0%
2,332,7009,Pens Meadow School,103883,0,CYS,9,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,332,4023,The Dormston School,103855,0,CY,187,45.4,-0.05,-0.23,0.13,27%,14%,35%,18%,58%,58%
1,332,4119,Redhill School,139872,0,ACC,237,51.2,0.17,0.01,0.32,84%,47%,56%,56%,78%,77%
1,332,5403,The High Arcal School,137705,0,ACC,230,40.6,-0.27,-0.43,-0.11,14%,5%,34%,6%,58%,54%
1,332,4003,The Hillcrest School and Community College,144952,0,AC, , , , , , , , , , , 
4,332, , , , , ,3483,43.6,-0.11,-0.16,-0.07,34.30%,15.40%,36.90%,18.30%,58.80%,56.10%
1,332,6007,Black Country Wheels School,137571,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,332,4612,Castle High School and Visual Arts College,103867,0,VA,146,34,-0.4,-0.61,-0.2,12%,5%,21%,7%,34%,33%
1,332,4121,Ridgewood High School,141712,0,ACC,144,40.1,-0.41,-0.61,-0.2,39%,15%,29%,16%,49%,42%
1,332,4030,The Wordsley School Business & Enterprise & Music College,103858,0,CY,144,44.3,-0.07,-0.27,0.13,11%,6%,47%,6%,69%,63%
1,332,4110,Leasowes High School,103861,0,FD,130,42.6,-0.03,-0.24,0.19,60%,19%,28%,28%,52%,51%
1,332,5405,The Holly Hall Academy,137390,0,ACC,138,38.3,-0.57,-0.78,-0.36,39%,17%,24%,22%,43%,41%
1,332,4027,The Coseley School,103857,1,FD,80,36,-0.7,-0.97,-0.43,30%,3%,16%,3%,40%,39%
1,332,5402,The Kingswinford School & Science College,137773,0,ACC,177,46.3,0.02,-0.16,0.21,11%,8%,37%,9%,59%,59%
1,332,4105,Pedmore Technology College and Community School,103859,0,FD,124,38.6,-0.26,-0.49,-0.04,28%,12%,31%,15%,61%,48%
1,332,5401,Ellowes Hall Sports College,141570,0,ACC,200,47,-0.01,-0.18,0.16,57%,30%,44%,35%,71%,68%
2,332,7004,The Old Park School,103880,0,CYS,12,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
2,332,7002,The Brier School,103878,0,CYS,10,3.3,-1.09,-1.86,-0.32,0%,0%,0%,0%,0%,0%
1,332,4020,Summerhill School,103854,0,CY,198,49.5,0.08,-0.09,0.26,27%,16%,56%,16%,82%,73%
1,332,4018,Thorns Community College,103853,1,FD,231,41.1,-0.58,-0.75,-0.42,36%,14%,33%,15%,56%,56%
2,332,7008,Rosewood School,103882,0,CYS,13,18.4,-0.81,-1.49,-0.14,0%,0%,0%,0%,0%,0%
1,332,5404,Windsor High School and Sixth Form,136618,0,ACC,275,48.3,0.24,0.09,0.38,24%,12%,40%,13%,60%,59%
1,333,6910,Ormiston Sandwell Community Academy,135979,0,AC,178,44.9,-0.05,-0.24,0.14,8%,7%,38%,7%,57%,56%
1,333,4024,Wood Green Academy,136616,0,ACC,249,45.8,0.04,-0.12,0.19,20%,12%,33%,16%,60%,59%
2,333,7017,The Meadows Sports College,132231,0,CYS,15,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,333,4028,The Phoenix Collegiate,136091,0,FD,230,40.3,-0.28,-0.46,-0.1,22%,10%,26%,11%,48%,47%
1,333,6905,Sandwell Academy,134993,0,AC,180,48.7,-0.04,-0.22,0.15,56%,31%,38%,37%,66%,66%
1,333,6907,George Salter Academy,135234,0,AC,179,41.2,-0.3,-0.48,-0.11,59%,16%,29%,20%,50%,49%
2,333,7019,The Westminster School,132233,0,CYS,21,0.3,-1.57,-2.1,-1.04,0%,0%,0%,0%,0%,0%
1,333,6011,Sandwell Valley School,143038,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,333,4138,Holly Lodge High School College of Science,104018,0,FD,238,38.6,-0.03,-0.21,0.14,16%,7%,21%,8%,43%,41%
2,333,6004,Bloomfield School,135518,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,333, , , , , ,3596,41.8,-0.21,-0.25,-0.16,24.50%,10.60%,27.90%,12.60%,51.30%,49.20%
1,333,4002,Wodensborough Ormiston Academy,139918,0,AC,161,34.6,-0.76,-0.96,-0.57,9%,4%,16%,4%,40%,37%
1,333,4003,Q3 Academy Langley,141698,0,AC, , , , , , , , , , , 
1,333,4000,Ormiston Forge Academy,137673,0,AC,151,41.7,-0.15,-0.35,0.05,24%,9%,19%,11%,48%,45%
1,333,4001,The ACE Academy,139328,0,AC,247,37,-0.5,-0.66,-0.35,20%,6%,15%,9%,39%,38%
1,333,4129,Bristnall Hall Academy,139043,0,ACC,183,45.4,0.39,0.2,0.58,57%,16%,36%,17%,54%,52%
1,333,6908,Q3 Academy,135449,0,AC,178,45.6,-0.12,-0.3,0.07,29%,20%,41%,21%,67%,66%
1,333,6906,Shireland Collegiate Academy,135170,0,AC,178,43.9,0.45,0.25,0.65,7%,2%,28%,2%,47%,47%
1,333,4500,St Michael's CE High School,104019,0,VA,224,44.8,-0.13,-0.29,0.04,10%,3%,23%,8%,51%,50%
1,333,4110,Oldbury Academy,137701,0,ACC,287,42.1,-0.11,-0.25,0.04,22%,9%,27%,10%,49%,46%
2,333,7001,Shenstone Lodge School,104024,0,CYS,11,2.7,-2.48,-3.21,-1.75,0%,0%,0%,0%,0%,0%
1,333,6005,The British Muslim School,135792,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,333,4111,Perryfields High School Specialist Maths and Computing College,104012,0,CY,230,46.1,-0.15,-0.31,0.01,28%,17%,42%,20%,68%,62%
1,333,6909,RSA Academy,135599,0,AC,172,45.1,-0.44,-0.63,-0.26,43%,20%,28%,21%,51%,50%
1,333,4005,Health Futures UTC,141813,0,UTC,142,33.8,-1.03,-1.25,-0.82,10%,3%,24%,4%,46%,39%
1,333,4600,Stuart Bathurst Catholic High School College of Performing Arts,104020,0,VA,146,40.6,-0.42,-0.63,-0.21,10%,2%,29%,2%,49%,46%
2,334,7005,Forest Oak School,104132,0,CYS,13,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,334,6924,CTC Kingshurst Academy,135684,0,AC,235,38,-1.16,-1.32,-1,19%,9%,30%,9%,51%,46%
1,334,4017,Arden,136333,0,ACC,241,58.1,0.37,0.21,0.52,53%,38%,66%,42%,84%,83%
1,334,4001,WMG Academy for Young Engineers (Solihull),142900,0,UTC, , , , , , , , , , , 
2,334,7003,Northern House School (Solihull),141171,0,ACS,8,4.3,-2.84,-3.7,-1.98,0%,0%,0%,0%,0%,0%
1,334,4661,John Henry Newman Catholic College,136347,0,AC,175,43,-0.39,-0.57,-0.2,38%,18%,38%,19%,57%,56%
1,334,4037,Smith's Wood Sports College,143895,0,AC, , , , , , , , , , , 
1,334,4018,Light Hall School,137231,0,ACC,239,46.6,-0.07,-0.23,0.09,74%,28%,46%,29%,65%,62%
1,334,6906,Park Hall Academy,135971,0,AC,180,47.3,0.37,0.19,0.55,8%,2%,27%,2%,56%,55%
1,334,4000,Lyndon School,142075,0,AC,249,39.8,-0.52,-0.68,-0.37,19%,9%,31%,10%,54%,49%
1,334,6002,Saint Martin's School,104123,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,334,4034,Smith's Wood Sports College,104118,1,CY,177,35.3,-0.75,-0.93,-0.56,11%,5%,19%,5%,36%,34%
1,334,4650,St Peter's Catholic School and Specialist Science College,104119,0,VA,194,54.9,0.43,0.26,0.61,59%,45%,65%,45%,82%,81%
1,334,4015,Alderbrook School,136994,0,ACC,245,48.2,0.15,-0.01,0.3,46%,30%,51%,32%,73%,70%
1,334,6905,Grace Academy Solihull,129342,0,AC,102,47.7,-0.11,-0.35,0.13,0%,0%,43%,0%,58%,58%
1,334,4030,Heart of England School,136909,0,ACC,199,49.9,-0.12,-0.3,0.05,37%,28%,55%,28%,70%,67%
2,334,7002,Reynalds Cross School,104131,0,CYS,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,334,4014,"Tudor Grange Academy, Solihull",136310,0,ACC,242,58.9,0.5,0.34,0.66,72%,55%,75%,57%,90%,88%
4,334, , , , , ,2920,46.9,-0.12,-0.16,-0.07,39.40%,24.20%,45.30%,25.70%,65.00%,62.40%
2,334,7001,Hazel Oak School,104130,0,CYS,15,3.6,-1.34,-1.99,-0.69,0%,0%,0%,0%,0%,0%
1,334,6003,Solihull School,104124,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,334,4019,Lode Heath School,137008,0,ACC,204,45.5,-0.25,-0.42,-0.08,31%,24%,38%,27%,63%,60%
2,334,7007,Merstone School,104133,0,CYS,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,334,4012,Langley School,137007,0,ACC,194,49.8,0.18,0.01,0.36,60%,34%,47%,36%,70%,66%
1,335,4005,Walsall Studio School,139789,0,SS,55,28.2,-1.43,-1.78,-1.08,0%,0%,15%,0%,31%,25%
1,335,6007,Hydesville Tower School,104266,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,335,7014,Elmwood School,135461,0,CYS,15,1.9,-2.62,-3.25,-1.99,0%,0%,0%,0%,0%,0%
1,335,5406,Barr Beacon School,136885,0,ACC,267,50.2,0.3,0.15,0.45,38%,25%,44%,28%,74%,71%
1,335,5401,"St Thomas More Catholic School, Willenhall",104259,0,VA,233,40.3,-0.37,-0.53,-0.21,10%,6%,31%,6%,55%,52%
1,335,6905,Walsall Academy,133697,0,AC,172,48.2,-0.07,-0.26,0.11,86%,27%,43%,30%,61%,60%
1,335,5402,Shire Oak Academy,136620,0,ACC,235,43.1,-0.53,-0.68,-0.37,39%,19%,31%,22%,58%,56%
1,335,4106,Pool Hayes Academy,142594,0,ACC,174,45.8,-0.16,-0.34,0.03,7%,3%,24%,3%,44%,44%
1,335,4057,Brownhills School,104248,0,FD,89,35.4,-0.74,-1.01,-0.48,24%,8%,21%,10%,37%,34%
1,335,6008,Palfrey Girls School,104267,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,335,6009,Emmanuel School,130323,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,335,6906,Ormiston Shelfield Community Academy,135769,0,AC,219,42.1,-0.07,-0.24,0.09,36%,15%,23%,17%,47%,45%
1,335,5404,Queen Mary's Grammar School,136773,0,ACC,95,75.2,0.69,0.44,0.95,93%,85%,99%,85%,99%,99%
1,335,4007,Joseph Leckie Academy,137830,0,ACC,154,39.9,-0.07,-0.27,0.14,26%,11%,30%,11%,51%,45%
1,335,5400,The Streetly Academy,137707,0,ACC,235,44.7,-0.43,-0.59,-0.27,19%,13%,33%,15%,62%,58%
2,335,7004,"The Jane Lane School, A College for Cognition & Learning",104271,0,CYS,11,3.3,-1.34,-2.2,-0.49,0%,0%,0%,0%,0%,0%
1,335,5403,Queen Mary's High School,136777,0,ACC,97,69.5,0.53,0.27,0.79,90%,88%,100%,88%,100%,100%
1,335,5405,Aldridge School - A Science College,137974,0,ACC,253,42.7,-0.18,-0.33,-0.02,49%,27%,36%,35%,55%,55%
1,335,4606,St Francis of Assisi Catholic Technology College,104255,0,VA,175,48.9,-0.16,-0.34,0.03,26%,21%,45%,22%,68%,66%
1,335,4004,Blue Coat Church of England Academy,138606,0,AC,118,35.8,0.03,-0.21,0.26,42%,8%,19%,11%,41%,38%
2,335,7005,Mary Elliot School,104272,0,CYS,27,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,335,6010,Abu Bakr Girls School,132750,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,335,4001,Bloxwich Academy,137274,0,AC,88,39.8,-0.13,-0.39,0.12,3%,0%,22%,0%,38%,38%
1,335,6013,Abu Bakr Boys School,135483,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,335, , , , , ,3184,43,-0.24,-0.29,-0.2,32.00%,17.90%,34.00%,19.80%,54.30%,52.20%
1,335,4003,West Walsall E-ACT Academy,138374,0,AC,106,37.8,-0.24,-0.48,0,24%,6%,24%,8%,51%,45%
2,335,7002,Castle Business and Enterprise College,104269,0,CYS,24,0.3,-1.47,-1.99,-0.95,0%,0%,0%,0%,0%,0%
1,335,6907,Grace Academy Darlaston,135956,0,AC,105,42.2,0.17,-0.08,0.42,9%,6%,33%,6%,48%,47%
1,335,4002,Willenhall E-ACT Academy,137706,0,AC,237,31.6,-0.99,-1.15,-0.83,12%,6%,17%,6%,32%,30%
2,336,7008,Green Park School,104415,0,CYS,10,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,336,6906,North East Wolverhampton Academy,136182,1,AC,121,34.5,-1.36,-1.59,-1.13,12%,3%,19%,3%,36%,34%
1,336,4009,Ormiston NEW Academy,145134,0,AC, , , , , , , , , , , 
1,336,6013,Tettenhall College Incorporated,104407,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,336,7005,Westcroft School,142383,0,ACCS,15,0.7,-1.54,-2.17,-0.91,0%,0%,0%,0%,0%,0%
1,336,4134,Heath Park,137730,0,ACC,189,50.6,0.44,0.25,0.62,12%,6%,39%,7%,67%,67%
1,336,4605,St Edmunds Catholic Academy,139891,0,ACC,144,46.1,0.04,-0.17,0.25,44%,26%,40%,27%,63%,59%
1,336,4606,Our Lady and St Chad Catholic Academy,141802,0,ACC,108,43.8,-0.03,-0.27,0.21,44%,15%,29%,19%,45%,45%
1,336,5400,Wolverhampton Girls' High School,140798,0,ACC,112,76.9,0.71,0.47,0.96,95%,92%,99%,93%,100%,100%
2,336,7012,Penn Hall School,104417,0,CYS,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,336,4005,Moreton School,144278,0,AC, , , , , , , , , , , 
1,336,4731,The King's Church of England School,131547,0,VA,136,41.1,-0.11,-0.33,0.1,51%,13%,29%,15%,49%,48%
1,336,5402,Aldersley High School,139138,0,ACC,130,45.9,0.43,0.2,0.65,22%,15%,37%,18%,57%,56%
1,336,4601,St.Peter's Collegiate Church of England School,138852,0,ACC,163,50.1,-0.11,-0.3,0.09,68%,27%,47%,29%,72%,68%
4,336, , , , , ,2502,44.6,-0.06,-0.11,-0.01,27.20%,14.40%,35.20%,15.70%,57.10%,55.20%
1,336,4000,Moseley Park,138098,0,AC,85,49.6,1.07,0.8,1.35,0%,0%,25%,0%,58%,58%
1,336,4007,Ormiston SWB Academy,145008,0,AC, , , , , , , , , , , 
1,336,4117,Smestow School,140586,0,ACC,140,42.1,-0.33,-0.54,-0.12,30%,16%,35%,18%,56%,53%
1,336,4128,Coppice Performing Arts School,104390,0,CY,151,46.3,-0.05,-0.25,0.15,14%,7%,25%,8%,58%,58%
1,336,4139,Moreton Community School,104397,1,CY,121,35.9,-0.97,-1.2,-0.74,12%,2%,15%,2%,35%,34%
1,336,6023,Wolverhampton Grammar School,104411,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,336,4003,The British Sikh School,142080,0,F, , , , , , , , , , , 
1,336,4001,Wednesfield High Specialist Engineering Academy,141245,0,AC,155,40,-0.56,-0.76,-0.37,5%,3%,30%,3%,56%,48%
1,336,6000,"The Royal School, Wolverhampton",143101,0,F,25,57.6,0.4,-0.25,1.04,24%,20%,60%,20%,76%,76%
1,336,6905,South Wolverhampton and Bilston Academy,135983,1,AC,131,44.3,0.15,-0.07,0.37,2%,2%,31%,2%,61%,60%
1,336,4133,Colton Hills Community School,104395,0,CY,125,39.4,0.3,0.05,0.54,42%,14%,27%,18%,50%,48%
2,336,7007,Tettenhall Wood School,104414,0,CYS,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,336,4113,Highfields School,142317,0,ACC,243,51.1,0.51,0.35,0.66,23%,17%,47%,19%,72%,71%
1,336,4006,West Midlands Construction UTC,140160,0,UTC,57,34.6,-1,-1.33,-0.68,4%,2%,21%,2%,35%,33%
2,336,7004,Penn Fields School,104412,0,CYS,20,2.6,-1.43,-1.98,-0.89,0%,0%,5%,0%,5%,0%
1,336,4115,St Matthias School,104387,0,CY,88,38.4,-0.05,-0.33,0.23,15%,1%,30%,1%,49%,45%
2,336,7000,Northern House School (City of Wolverhampton),142086,0,ACS,11,3,-2.14,-2.87,-1.41,0%,0%,0%,0%,0%,0%
4,340, , , , , ,978,37.3,-0.77,-0.85,-0.7,23.30%,7.40%,24.40%,8.80%,47.00%,42.70%
1,340,4613,The Prescot School,142798,0,ACC,152,35.7,-0.94,-1.14,-0.74,30%,4%,16%,7%,39%,36%
2,340,7013,Alt Bridge School,104498,0,CYS,27,2.1,-2.11,-2.58,-1.63,0%,0%,0%,0%,0%,0%
2,340,7005,Bluebell Park School,104495,0,CYS,11,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,340,4615,All Saints Catholic High School,135479,0,VA,145,39.7,-0.7,-0.9,-0.49,6%,2%,31%,3%,52%,50%
2,340,7002,Finch Woods Academy,141033,0,ACS,9,2.7,-3.03,-3.84,-2.22,0%,0%,0%,0%,0%,0%
